ID;Geschlecht;Fahrzeug;Immobilien;Handy;Diensttelefon;Telefon;Email;Kinder_1;Kinder_2+;Einkommen_hoch;Einkommen_mittel;Alter_41-50;Alter_51-60;Alter_Unter 31;Alter_Über 60;Beschäftigungsdauer_17-24;Beschäftigungsdauer_25-32;Beschäftigungsdauer_9-16;Beschäftigungsdauer_Über 32;Familiengröße_1;Familiengröße_3+;Berufsgruppe_Beamter;Berufsgruppe_Commercial Associate;Berufsgruppe_Rentner;Berufsgruppe_Student;Berufstyp_High Skill/Level;Berufstyp_White Collar;Wohnsituation_Genossenschaftliche Wohnung;Wohnsituation_Kommunale Wohnung;Wohnsituation_Mietwohnung;Wohnsituation_Mit Eltern;Wohnsituation_Office Apartment;Bildungsgrad_Akademische Grade;Bildungsgrad_Hauptschulabschluss;Bildungsgrad_Sekundarstufe II;Bildungsgrad_Sekundarstufe II ohne Abschluss;Familienstand_Zivilehe;Familienstand_geschieden;Familienstand_ledig;Familienstand_verwitwet;target;Regelnummer;Wahrscheinlichkeit;Samples;Regel
5008806;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008808;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;gute Kreditwürdigkeit
5008809;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;gute Kreditwürdigkeit
5008810;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;gute Kreditwürdigkeit
5008811;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;gute Kreditwürdigkeit
5008815;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5112956;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008819;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008820;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008821;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008822;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008823;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008824;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008825;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008826;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008830;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008831;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008832;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008836;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008837;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008838;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008839;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008840;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008841;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008842;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008843;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008844;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008846;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008847;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008849;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008850;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008851;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008852;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008853;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008854;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008855;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008856;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008857;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008858;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008859;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008860;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008861;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008862;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008863;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
5008864;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;gute Kreditwürdigkeit
